acidity,sulfur_dioxide,density,pH,alcohol,color,quality
7.5,14,0.9968,3.21,10.5,red,6
8.1,23,0.9968,3.3,10.3,red,5
6.8,11,0.9962,3.48,9.5,red,5
4.6,65,0.9934,3.9,13.1,red,4
7.7,114,0.997,3.25,9.2,red,5
8.7,37,0.9969,3.25,9.5,red,5
6.4,12,0.9958,3.34,9.2,red,5
5.6,96,0.9954,3.32,9.2,red,5
8.8,23,0.9971,3.15,9.2,red,5
6.6,15,0.9956,3.4,9.4,red,6
6.6,14,0.9955,3.39,9.4,red,6
8.6,119,0.997,3.2,9.4,red,5
7.6,73,0.9955,3.17,10.2,red,6
7.7,45,0.9978,3.34,9.5,red,5
10.2,10,0.9971,3.04,9.6,red,5
7.5,110,0.9983,3.26,9.4,red,5
7.8,54,0.9975,3.43,10,red,5
7.3,46,0.9962,3.41,9.4,red,6
8.8,52,0.998,3.44,9.2,red,5
7.7,112,0.9968,3.21,9.3,red,5
7.5,35,0.9968,3.38,9.5,red,7
7,54,0.9966,3.39,9.8,red,5
7.2,11,0.9962,3.41,10.9,red,5
7.2,11,0.9962,3.41,10.9,red,5
7.5,39,0.9968,3.42,9.6,red,5
6.6,15,0.9962,3.44,10.7,red,5
9.3,65,0.9969,3.28,10.7,red,5
8,19,0.9962,3.34,10.5,red,6
7.7,27,0.9967,3.32,9.5,red,6
7.7,96,0.9962,3.32,9.5,red,5
7.7,94,0.9961,3.31,9.5,red,5
8.3,43,0.9976,3.31,9.2,red,4
9.7,83,0.9984,3.28,9.6,red,5
8.8,42,0.9986,3.54,10.5,red,5
8.8,42,0.9986,3.54,10.5,red,5
6.8,30,0.9966,3.52,10.7,red,6
6.7,80,0.9958,3.38,10.1,red,5
8.3,119,0.9972,3.16,9.1,red,4
6.2,15,0.9958,3.41,9.2,red,5
7.8,67,0.9974,3.13,9.4,red,5
7.4,73,0.997,3.36,9.1,red,5
7.3,51,0.9969,3.16,9.4,red,5
6.3,61,0.9959,3.44,10.3,red,6
6.9,40,0.9961,3.41,10.1,red,5
8.6,136,0.9972,2.93,9.9,red,6
7.7,31,0.9966,3.39,9.6,red,5
9.3,125,0.9978,3.14,9.5,red,5
7,24,0.9978,3.48,9,red,5
7.9,140,0.9964,3.23,9.5,red,5
8.6,136,0.9972,2.93,9.9,red,6
8.6,133,0.9972,2.93,9.8,red,5
7.7,31,0.9966,3.39,9.6,red,5
5,85,0.9938,3.75,10.5,red,4
4.7,106,0.9932,3.85,12.9,red,6
6.8,23,0.9965,3.45,10.7,red,5
7,22,0.9963,3.25,9.2,red,5
7.6,10,0.9967,3.39,9.8,red,5
8.1,35,0.9972,3.3,9,red,6
8.3,50,0.9972,3.4,10.2,red,6
7.8,22,0.9959,3.31,10.4,red,6
8.1,35,0.9972,3.3,9,red,6
8.1,65,0.9967,3.29,9.2,red,5
7.2,36,0.996,3.33,9.4,red,5
8.1,65,0.9967,3.29,9.2,red,5
7.8,69,0.9973,3.08,9.3,red,5
6.2,64,0.9969,3.46,9.3,red,5
8,80,0.9976,3.37,9.6,red,6
8.1,153,0.9969,3.21,9.3,red,5
7.8,47,0.9964,3.19,9.5,red,5
8.4,108,0.9964,3.15,9.8,red,5
8.4,111,0.9964,3.15,9.8,red,5
10.1,46,0.9988,3.32,9.7,red,6
7.8,47,0.9964,3.19,9.5,red,5
9.4,62,0.9966,3.07,10.5,red,6
8.3,40,0.9978,3.39,10,red,6
7.8,28,0.997,3.37,9.4,red,6
8.8,56,0.9962,3.21,10.9,red,6
7,89,0.9959,3.34,9.2,red,6
7.3,89,0.9962,3.3,9,red,5
8.8,56,0.9962,3.21,10.9,red,6
7.3,13,0.998,3.49,9.2,red,5
8,34,0.9976,3.44,9.5,red,5
7.8,102,0.996,3.39,9.5,red,5
9,90,0.9984,3.16,9.4,red,5
8.2,12,0.9964,3.53,10.9,red,5
8.1,12,0.9964,3.54,10.9,red,5
8,16,0.9962,3.42,10.5,red,7
6.1,19,0.9955,3.42,9.4,red,5
8,134,0.9968,3.24,9.4,red,5
5.6,99,0.9937,3.63,13,red,5
5.6,99,0.9937,3.63,13,red,5
6.6,26,0.9952,3.4,9.8,red,6
7.9,29,0.9959,3.22,9.9,red,6
8.4,63,0.9965,3.19,9.6,red,5
8.3,52,0.9968,3.23,9.5,red,5
7.2,45,0.9972,3.48,9.2,red,5
7.8,105,0.9962,3.33,9.5,red,5
7.8,108,0.9962,3.32,9.5,red,5
8.4,63,0.9965,3.19,9.6,red,5
8.3,52,0.9968,3.23,9.5,red,5
5.2,63,0.9916,3.68,14,red,6
6.3,20,0.9954,3.34,9.4,red,5
5.2,63,0.9916,3.68,14,red,6
8.1,141,0.9968,3.17,9.4,red,5
5.8,94,0.9944,3.54,10,red,5
7.6,88,0.9968,3.11,9.3,red,5
6.9,30,0.9959,3.42,10.2,red,6
8.2,43,0.9975,3.53,10.5,red,6
7.3,11,0.9958,3.33,10.3,red,6
9.2,69,0.9996,2.74,9.4,red,4
7.5,99,0.995,3.35,10.1,red,5
7.5,99,0.995,3.35,10.1,red,5
7.1,129,0.9973,3.42,10.5,red,5
7.1,128,0.9973,3.42,10.5,red,5
7.1,129,0.9973,3.42,10.5,red,5
7.1,128,0.9973,3.42,10.5,red,5
7.1,22,0.9969,3.48,9.3,red,5
6.8,86,0.9968,3.59,9.3,red,6
7.6,20,0.9959,3.2,9.6,red,5
7.6,20,0.9965,3.17,9.2,red,4
7.8,31,0.9964,3.33,10,red,6
7.4,121,0.9982,3.37,9.4,red,5
7.3,121,0.9981,3.37,9.4,red,5
7.8,96,0.9961,3.19,9.5,red,5
6.8,101,0.9956,3.34,10.2,red,5
7.3,42,0.9956,3.37,9,red,4
6.8,44,0.9953,3.47,10.4,red,6
7.5,63,0.9964,3,9.5,red,5
7.9,8,0.9972,3.36,9.1,red,4
8,18,0.9972,3.29,9.2,red,6
8,18,0.9972,3.29,9.2,red,6
7.4,42,0.9961,3.42,11.5,red,6
7.3,35,0.9961,3.33,9.5,red,5
6.9,49,0.9958,3.35,9.5,red,5
7.3,35,0.9961,3.33,9.5,red,5
7.5,38,0.9972,3.58,10.5,red,6
7,20,0.9969,3.48,9.6,red,5
8.8,42,0.9969,3.19,9.5,red,5
8.8,42,0.9969,3.19,9.5,red,5
8.9,110,0.9972,3.12,9.3,red,5
7.2,42,0.9972,3.44,9.3,red,5
6.8,65,0.9971,3.54,9.3,red,5
6.7,62,0.997,3.52,9.3,red,6
8.9,85,0.9971,3.26,9.7,red,5
7.4,67,0.9972,3.34,9.2,red,5
7.7,26,0.9976,3.39,9.7,red,5
7.9,143,0.9968,3.2,9.5,red,5
7.9,144,0.9968,3.2,9.5,red,5
8.2,127,0.9976,3.23,9.4,red,5
6.4,49,0.9974,3.57,9.8,red,6
6.8,126,0.9969,3.28,9.5,red,5
7.6,28,0.9964,3.28,9.7,red,5
7.6,28,0.9964,3.28,9.7,red,5
7.8,120,0.9968,3.25,9.4,red,5
7.3,55,0.9968,3.46,10.2,red,5
11.5,27,0.9981,3.11,10.1,red,6
5.4,93,0.9924,3.57,13,red,7
6.9,31,0.9948,3.51,11.4,red,4
9.6,24,0.99695,3.22,10.3,red,7
8.8,145,0.9975,3.04,9.3,red,5
6.8,49,0.99545,3.36,9.5,red,5
7,39,0.9961,3.34,9.2,red,5
7,37,0.99615,3.34,9.2,red,6
12.8,28,0.9994,3.2,10.8,red,7
12.8,28,0.9994,3.2,10.8,red,7
7.8,120,0.99625,3.29,9.3,red,5
7.8,95,0.9966,3.22,9.4,red,5
11,19,0.998,3.31,10.5,red,7
9.7,19,0.99585,3.3,12.4,red,6
8,62,0.99685,3.35,10,red,6
11.6,15,0.998,3.21,10.2,red,6
8.2,65,0.9959,3.3,10.1,red,5
7.8,41,0.9974,3.24,9.8,red,6
7,121,0.9974,3.34,10.5,red,5
8.7,49,0.9962,3.14,11,red,5
8.1,41,0.9967,3.36,9.1,red,5
7.5,44,0.9957,3.39,9.7,red,5
7.8,144,0.99655,3.3,9.5,red,5
7.8,58,0.9964,3.34,9.4,red,6
7.4,72,0.9957,3.15,9.4,red,5
6.8,10,0.99525,3.42,9.5,red,5
8.6,28,0.99815,3.28,10,red,6
8.4,55,0.99745,3.31,10.4,red,4
7.7,63,0.99615,3.37,10.5,red,6
8.9,81,0.9964,3.04,9.5,red,6
9,23,0.9984,3.39,9.8,red,5
7.7,63,0.99615,3.37,10.5,red,6
6.9,37,0.99685,3.46,11,red,5
5.2,106,0.9927,3.54,12.2,red,7
8,49,0.99625,3.37,9.9,red,6
8.5,58,0.998,3.34,9.6,red,6
6.9,37,0.99685,3.46,11,red,5
8.2,37,0.99685,3.32,9,red,6
7.2,38,0.99675,3.37,9,red,6
7.2,38,0.99675,3.37,9,red,6
7.2,39,0.99675,3.37,9.2,red,6
7.2,38,0.99675,3.37,9,red,6
8.2,37,0.99685,3.32,9,red,6
8.9,62,0.9971,3,9.3,red,5
12,24,0.99925,3.14,10.9,red,6
7.7,109,0.99565,3.08,9.8,red,6
15,24,1.00005,3.07,9.2,red,7
15,24,1.00005,3.07,9.2,red,7
7.3,23,0.9983,3.61,9.9,red,6
7.1,51,0.99685,3.38,9.5,red,5
8.2,73,0.9963,3.2,9.3,red,5
7.7,39,0.99615,3.35,9.8,red,6
7.3,23,0.9983,3.61,9.9,red,6
10.8,37,0.9985,3.22,10,red,6
7.1,34,0.9972,3.47,9.9,red,6
11.1,21,0.9986,3.17,10.5,red,5
7.7,86,0.9959,3.23,9.5,red,5
7.1,34,0.9972,3.47,9.9,red,6
8,119,0.99675,3.26,9.3,red,5
9.4,13,0.998,3.22,9.2,red,5
6.6,56,0.9968,3.49,9.2,red,5
7.7,45,0.9968,3.06,9.4,red,5
10,33,0.99965,3.36,10.5,red,7
7.9,45,0.99625,3.29,9.3,red,5
7,67,0.99565,3.35,9.4,red,4
8,35,0.99575,3.34,10,red,5
7.9,49,0.9963,3.28,9.3,red,5
12.5,27,0.9999,3.08,10.9,red,5
11.8,10,0.9968,3.2,10.2,red,7
8.1,61,1.00025,3.6,9.8,red,4
7.9,37,0.9973,3.35,12.8,red,8
6.9,27,0.9987,3.69,9.4,red,6
11.5,23,0.9996,3.28,10.1,red,6
7.9,61,0.9965,3.36,10.7,red,6
11.5,23,0.9996,3.28,10.1,red,6
10.9,65,0.99935,3.22,10.1,red,5
8.4,38,0.99735,3.31,9.4,red,5
7.5,94,0.99915,3.38,9.4,red,5
7.9,61,0.9965,3.36,10.7,red,6
6.9,27,0.9987,3.69,9.4,red,6
11.5,23,0.9996,3.28,10.1,red,6
10.3,13,0.9976,3.23,12.6,red,8
8.9,47,0.9991,3.38,10.5,red,7
11.4,19,0.9986,3.12,9.3,red,6
7.7,10,0.9972,3.25,9.9,red,7
7.6,53,0.9971,3.36,9.1,red,5
8.9,47,0.9991,3.38,10.5,red,7
9.9,71,1.00015,3.31,9.8,red,5
9.9,71,1.00015,3.31,9.8,red,5
12,49,0.9997,3.1,10.3,red,6
7.5,53,0.9967,3.37,10.3,red,6
8.7,49,0.9976,3.34,10.6,red,7
11.6,98,1.001,3.2,9.2,red,5
8.7,49,0.9976,3.34,10.6,red,7
11,18,0.9979,3.3,10.5,red,5
10.4,48,0.9994,3.22,10.3,red,6
6.9,16,0.9964,3.41,10.1,red,6
13.3,53,1.0014,3.05,9.5,red,6
10.8,27,1.0001,3.05,9.5,red,5
10.6,70,0.9981,3.16,9.9,red,5
7.1,29,0.99855,3.67,9.6,red,5
7.2,31,0.9993,3.67,9.7,red,5
6.9,33,0.99845,3.68,9.6,red,5
7.5,44,0.9965,3.38,10.7,red,6
11.1,15,0.9973,3.22,10.1,red,6
8.3,28,0.9994,3.51,10,red,5
7.4,21,0.996,3.39,9.5,red,5
8.4,90,0.9973,3.2,9.2,red,5
10.3,25,0.9998,3.12,9.3,red,6
7.6,54,0.9966,3.36,9.4,red,5
10.3,14,0.9994,3.19,9.5,red,6
10.3,12,0.9994,3.19,9.5,red,6
7.4,30,0.9968,3.41,9.5,red,6
10.3,25,0.9998,3.12,9.3,red,6
7.9,105,0.996,3.27,9.4,red,6
9,98,0.99815,3.32,9.5,red,6
8.6,135,0.9976,3.3,9.4,red,5
7.4,72,0.99645,3.39,11,red,5
7.1,53,0.9962,3.42,11,red,6
9.6,92,0.9996,3.3,10.1,red,5
9.6,74,0.99865,3.3,10.4,red,6
9.8,59,0.9989,3.37,11.5,red,7
9.6,74,0.99865,3.3,10.4,red,6
9.8,59,0.9989,3.37,11.5,red,7
9.3,87,0.99975,3.24,9.7,red,5
7.8,18,0.99735,3.29,9.3,red,5
10.3,73,0.999,3.28,9.5,red,6
10,50,1.0015,3.16,9.2,red,6
10,50,1.0015,3.16,9.2,red,6
11.6,14,0.9978,3.05,11.5,red,7
10.3,13,0.998,3.28,11.5,red,5
13.4,21,1.0002,3.16,9.7,red,6
10.7,15,0.9981,3.18,9.5,red,5
10.2,41,0.998,3.23,12.5,red,6
10.2,41,0.998,3.23,12.5,red,6
8,114,0.9973,3.22,9.4,red,6
8.4,44,0.9958,3.13,11,red,5
7.9,38,0.9963,3.34,11.7,red,7
11.9,21,0.9992,3.17,12.2,red,7
8.9,16,0.9948,3.35,12.5,red,6
7.8,58,0.9974,3.31,10.3,red,5
12.4,99,1.0008,3.16,11.5,red,6
12.5,29,0.9997,3.11,9.8,red,7
12.2,21,1,3.12,9.2,red,6
10.6,18,0.9972,3.21,11.3,red,6
10.9,14,0.9982,3.3,9.8,red,6
10.9,14,0.9982,3.3,9.8,red,6
11.9,32,1.0006,3.12,10.7,red,6
7,63,0.9979,3.6,9.9,red,5
6.6,34,0.9955,3.58,12.3,red,7
13.8,15,0.9986,3.02,12,red,6
9.6,46,0.9979,3.11,10,red,6
9.1,28,0.9994,3.36,9.4,red,6
10.7,34,1.0004,3.28,9.9,red,6
9.1,26,0.9994,3.35,9.4,red,6
7.7,19,0.9974,3.27,9.3,red,5
13.5,77,1.0018,3.18,13,red,5
6.1,165,0.9912,3.25,11.9,red,6
6.7,32,0.9955,3.55,12.8,red,6
11.5,55,1.0001,3.26,11,red,5
10.5,29,0.997,3.24,11.7,red,7
11.9,23,1,3.15,10.4,red,7
12.6,41,1.001,3.17,9.8,red,6
8.2,81,0.9973,3.19,9.4,red,5
8.6,50,0.9982,3.37,9.9,red,6
11.9,37,0.9992,3.05,10,red,5
12.5,15,0.9988,2.99,10.2,red,5
12.8,42,1.0022,3.07,10,red,7
10,21,0.9979,3.26,11.8,red,6
12.8,42,1.0022,3.07,10,red,7
10.4,24,1,3.16,9,red,5
10.3,75,0.9998,3.18,9.4,red,5
9.4,18,0.9962,3.2,12,red,7
6.9,63,0.9975,3.57,9.9,red,5
7.9,25,0.9967,3.32,8.7,red,6
9.1,46,0.9967,3.32,10.6,red,6
7.4,72,0.9959,3.05,9.2,red,5
14,47,1.0014,3.01,10.8,red,6
11.5,15,0.9984,3.01,11.8,red,7
11.5,47,1.0003,3.26,11,red,6
9.4,18,0.9962,3.2,12,red,7
11.4,24,0.9988,3.11,13.3,red,6
8.3,60,0.9979,3.31,10.8,red,6
8.3,27,0.9974,3.21,9.4,red,6
13.7,43,1.0014,3.06,10,red,6
8.3,27,0.9974,3.21,9.4,red,6
8.3,27,0.9974,3.21,9.4,red,6
7.7,54,0.998,3.42,9.2,red,5
7.4,37,0.9979,3.43,9.7,red,6
7.8,48,0.9981,3.41,9.2,red,6
8.3,42,0.9972,3.31,9.6,red,6
7.8,53,0.9981,3.43,9.2,red,6
9.6,49,0.9982,3.19,10,red,7
5.6,88,0.9924,3.56,12.9,red,8
13.7,43,1.0014,3.06,10,red,6
9.5,26,0.998,3.18,9.5,red,5
8.4,95,0.997,3.16,9.1,red,5
12.7,25,0.9997,3.03,9.9,red,5
12,38,1.0004,3.22,13,red,7
6.6,124,0.9994,3.47,9.9,red,5
11.5,49,0.9988,3.18,11,red,6
11.5,49,0.9988,3.18,11,red,6
8.7,42,0.9963,3.1,9.4,red,5
6.6,124,0.9994,3.47,9.9,red,5
7.7,38,0.9949,3.29,10.8,red,6
12.2,64,1,3.1,10.5,red,6
11.4,41,0.9994,3.15,10.5,red,6
7.7,27,0.9974,3.26,9.1,red,5
8.7,25,0.9966,3.36,10.1,red,6
9.8,28,0.9981,3.24,10.8,red,6
12,30,0.9996,3.18,10.8,red,7
10.4,16,0.997,3.19,11.3,red,6
12.5,49,0.9981,3.05,9.6,red,4
9,86,0.9987,3.38,9.5,red,6
9.1,78,0.9987,3.38,9.5,red,5
7.1,77,0.9966,3.27,9.3,red,5
9.9,19,0.9986,3.27,11.7,red,7
8.8,122,0.9982,3.26,9.5,red,5
8.6,134,1.0014,3.32,9.3,red,5
10.6,20,0.997,3.26,11.7,red,6
7,124,0.9956,3.44,10.5,red,5
11.9,20,0.9996,3.24,10.4,red,6
6.8,52,0.9976,3.62,9.9,red,5
9.5,67,0.9972,3.28,11.8,red,7
6.6,48,0.9952,3.52,12.3,red,7
7.7,60,0.9955,3.36,10.9,red,5
10.5,24,0.9978,3.15,11,red,7
7.7,60,0.9955,3.36,10.9,red,5
6.6,48,0.9952,3.52,12.3,red,7
6.4,48,0.9949,3.49,11.4,red,6
9.5,32,0.9988,3.26,10.6,red,6
9.1,30,0.9978,3.24,9.3,red,5
12.8,35,0.9997,3.1,10.4,red,6
10.5,24,0.9978,3.15,11,red,7
7.8,66,0.9974,3.25,9.2,red,5
11.9,24,0.9958,3,12.8,red,6
12.3,18,1.0004,3.16,9.5,red,5
10.4,54,0.9996,3.15,9.9,red,6
12.3,18,1.0004,3.16,9.5,red,5
8,62,0.9958,3.26,10.2,red,6
11.1,22,0.9986,3.17,11.2,red,6
10.4,54,0.9996,3.15,9.9,red,6
7,50,0.9951,3.08,9.3,red,5
12.6,29,0.9987,2.88,9.8,red,8
11.9,27,0.9988,3.06,11.3,red,6
15.6,43,1.0032,2.95,11.2,red,7
10,19,0.9963,3.23,11.6,red,7
5.3,27,0.9934,3.57,12.5,red,7
9.5,31,0.9986,3.23,10.1,red,6
12.5,72,0.9996,3.1,10.5,red,5
9.3,16,0.9968,3.22,11.2,red,5
8.6,27,0.9967,3.2,10.2,red,6
11.9,35,0.9994,3.1,10.8,red,6
11.9,35,0.9994,3.1,10.8,red,6
8.4,26,0.9979,3.06,9.1,red,6
6.8,35,0.9968,3.44,10,red,6
10.4,22,0.9998,3.26,11.2,red,7
7,67,0.9952,3.5,11.1,red,5
11.3,19,0.9988,3.22,13.4,red,8
8.9,22,0.9986,3.37,10.3,red,5
9.2,65,0.9988,3.28,9.6,red,5
10.4,22,0.9998,3.26,11.2,red,7
11.6,47,1.0008,3.25,9,red,3
9.2,23,0.9976,3.35,11.3,red,6
8.3,19,0.9982,3.26,9.3,red,5
11,25,0.997,3.18,11.8,red,5
8.1,129,0.9972,3.08,9,red,5
11.5,15,0.9987,2.98,9.2,red,6
10,26,1.0006,3.48,9.7,red,5
10.3,51,0.9982,3.16,11.5,red,6
8.8,18,0.9947,3.32,14,red,6
11.4,21,1,3.17,9.2,red,6
8.7,48,0.9952,3.2,9.8,red,5
13,47,0.9996,3.05,10.6,red,5
9.6,52,0.997,3.2,11.4,red,6
12.5,68,0.9995,3.15,10.4,red,6
9.9,14,0.9971,3.26,10.6,red,5
10.5,24,0.9982,3.2,9.4,red,6
9.6,28,0.9988,3.14,10.2,red,5
9.3,16,0.998,3.28,9.7,red,5
10.4,20,0.9977,3.18,11,red,6
9.6,28,0.9988,3.14,10.2,red,5
9.4,31,0.9984,3.19,10.1,red,6
10.6,23,1.0026,3.12,9.2,red,5
9.4,17,0.9964,3.15,11.7,red,8
10.6,18,0.9986,3.04,9.4,red,5
10.6,18,0.9986,3.04,9.4,red,5
10.6,24,0.997,3.06,13.4,red,6
10.2,17,0.9976,3.17,10,red,5
10.2,17,0.9976,3.17,10,red,5
10.2,14,0.9982,3.17,10,red,6
11.6,67,1.0002,3.32,10.8,red,7
9.3,26,0.9984,3.34,10.2,red,6
9.3,56,0.9984,3.31,10.6,red,6
9.2,25,0.9952,3.34,13.3,red,7
8.9,27,0.995,3.32,13.4,red,7
8.7,81,1.0002,3.48,11.6,red,6
6.5,91,0.9952,3.44,12.1,red,6
10.7,16,0.9972,3.15,11,red,8
7.8,38,0.9984,3.43,9,red,6
7.2,113,0.9966,3.32,11.1,red,5
10.7,16,0.9972,3.15,11,red,8
8.7,81,1.0002,3.48,11.6,red,6
7.8,38,0.9984,3.43,9,red,6
10.4,76,0.999,3.17,12,red,7
10.4,76,0.999,3.17,12,red,7
10.5,24,0.9976,3.18,10.9,red,7
10.5,22,0.9976,3.21,10.8,red,7
10.2,26,0.9968,3.16,12.5,red,7
10.4,21,0.9976,3.25,10.8,red,7
11.2,13,1,3.17,9.5,red,6
10,62,0.9994,3.18,10.2,red,6
13.3,43,0.9986,3.04,11.4,red,7
12.4,43,0.9978,3.02,9.5,red,5
10,62,0.9994,3.18,10.2,red,6
10.7,49,0.998,3.03,9.7,red,6
10.5,15,0.9973,3.09,11.8,red,7
10.5,15,0.9973,3.09,11.8,red,7
8.5,151,1.001,3.31,9.3,red,5
12.5,14,1.001,3.25,11.9,red,6
10.4,16,0.9994,3.16,8.4,red,3
10.9,32,0.9972,3.22,11.7,red,6
7.3,106,0.9966,3.36,11,red,5
9.8,33,0.9982,3.42,10,red,6
7.6,43,0.998,3.48,9.1,red,5
8.2,133,0.9979,3.38,9.8,red,5
9.3,142,0.9978,3.22,9.4,red,5
9.2,116,0.9976,3.23,9.5,red,5
10.4,53,0.9998,3.24,9.9,red,5
7.3,106,0.9966,3.36,11,red,5
7,85,0.9962,3.39,11.4,red,6
8.2,55,0.9988,3.34,8.7,red,6
9.9,33,0.9974,3.09,9.4,red,5
9.1,28,0.999,3.41,10.3,red,6
11.9,42,1.0004,3.16,10.3,red,5
11.9,42,1.0004,3.16,10.3,red,5
10.3,33,0.9956,3.22,12.8,red,6
10,32,1,3.28,10,red,6
9.1,28,0.999,3.41,10.3,red,6
9.9,33,0.9974,3.09,9.4,red,5
8.1,13,0.9972,3.37,10.7,red,6
12.9,35,1.0014,3.2,12,red,7
11.2,17,0.9996,3.22,11.2,red,5
9.2,47,0.9988,3.26,9.6,red,5
9.5,17,0.9988,3.21,11,red,6
9.3,20,0.9966,3.12,9.9,red,5
11.2,53,0.9993,3.06,11,red,6
14.3,15,1.0008,2.86,8.4,red,6
9.1,106,0.9982,3.08,9.1,red,5
7.5,28,0.9983,3.45,9.5,red,6
10.6,21,0.9987,3.26,10.7,red,6
12.4,69,0.9994,3.12,10.4,red,6
9,25,0.9975,3.27,9.4,red,6
6.8,25,0.9958,3.33,9.5,red,6
9.4,45,0.998,3.19,10,red,6
9.5,44,0.998,3.12,10,red,6
5,96,0.9934,3.74,11.5,red,5
15.5,23,1.00315,2.92,11.1,red,5
15.5,23,1.00315,2.92,11.1,red,5
10.9,17,1.0002,3.07,11.7,red,6
15.6,23,1.00315,2.92,11.1,red,5
10.9,17,1.0002,3.07,11.7,red,6
13,47,1.0021,3.3,12.7,red,6
12.7,19,0.9994,3.14,11.4,red,5
9,121,0.9978,3.23,9.2,red,5
9,110,0.9982,3.08,9.2,red,5
7.6,60,0.9971,3.31,10.1,red,6
13,47,1.0021,3.3,12.7,red,6
12.7,19,0.9994,3.14,11.4,red,5
8.7,15,0.9991,3.32,9,red,6
8.7,15,0.9991,3.32,9,red,6
9.8,20,0.999,3.31,10.7,red,6
6.2,42,0.9946,3.57,11.7,red,6
11.5,37,1.0003,3.32,11,red,6
6.2,42,0.9946,3.57,11.7,red,6
10.2,28,0.9978,3.14,10.4,red,5
10.5,47,0.9991,3.3,9.6,red,4
10.6,78,0.9992,3.19,10,red,6
12.3,46,0.9993,3.2,10.2,red,6
9.9,14,0.9978,3.34,10,red,4
8.8,111,0.9982,3.3,9.5,red,5
8.8,110,0.9982,3.29,9.8,red,5
10.6,40,0.9976,3.14,9.8,red,6
12.3,14,1.0002,3.19,9.6,red,5
12.3,14,1.0002,3.19,9.6,red,5
11.7,15,1,3.19,9.2,red,5
12,21,0.9976,2.98,9.9,red,7
11.8,80,1.0002,3.3,10.7,red,7
7.6,38,0.998,3.47,9.6,red,6
11.1,47,0.9986,3.12,10.6,red,7
7.3,102,0.9967,3.26,9.3,red,5
5,50,0.9917,3.72,14,red,8
10.2,13,0.9976,3.05,10.5,red,7
9,75,0.9987,3.35,9.7,red,5
6.6,149,0.9922,3.12,11.5,red,6
9,75,0.9987,3.35,9.7,red,5
9.9,43,1.0004,3.29,9,red,5
7.9,38,0.9978,3.4,9.5,red,5
8.9,109,0.9998,3.27,9.3,red,5
12.4,24,0.9994,3.04,9.3,red,6
11.9,18,0.998,3.09,10,red,6
8.5,30,0.9967,3.2,9.8,red,6
12.7,22,1,3,9.3,red,6
8.2,23,0.9962,3.26,10,red,4
13.2,35,1.0006,3.1,9,red,6
7.7,14,0.9975,3.3,9.3,red,5
13.2,35,1.0006,3.1,9,red,6
8.3,63,0.9984,3.17,9.1,red,6
8.3,24,0.9984,3.31,9.2,red,6
9.4,20,0.9973,3.34,12.2,red,7
8.8,52,0.9982,3.31,10.5,red,6
10.1,65,1.0026,3.32,10.4,red,6
6.3,39,0.9956,3.56,12.7,red,6
8.8,57,0.9983,3.39,9.2,red,5
13.2,16,1.0006,2.98,9.4,red,5
7.5,29,0.9965,3.32,10,red,6
8.2,29,0.9962,3.26,9.8,red,5
9.2,103,0.9969,2.87,10.2,red,6
9.6,71,0.9997,3.5,9.7,red,5
9.6,71,0.9997,3.5,9.7,red,5
11.5,28,0.9982,3.03,9.8,red,6
11.4,17,1.0006,3.13,10.2,red,5
11.3,16,0.9988,3.09,9.3,red,5
8.3,112,0.9976,3.27,9.4,red,5
8.2,104,0.9976,3.28,9.4,red,5
